0.000000000000000000e+00 1.000100000000000000e+08 6.685286129843630080e+17 8.332224311485430400e+16
1.000000000000000021e-02 1.184420000000000000e+08 6.685296029032674560e+17 8.332512327929728000e+16
2.000000000000000042e-02 1.261090000000000000e+08 6.686305205691100160e+17 8.871191088796422400e+16
2.999999999999999889e-02 1.293070000000000000e+08 6.687729239958958080e+17 9.096079564973918400e+16
4.000000000000000083e-02 1.306490000000000000e+08 6.689325471910494720e+17 9.190677518499947200e+16
5.000000000000000278e-02 1.312280000000000000e+08 6.690993189592872960e+17 9.231200587167888000e+16
5.999999999999999778e-02 1.314780000000000000e+08 6.692690952880980480e+17 9.249474153731929600e+16
7.000000000000000666e-02 1.316370000000000000e+08 6.694400905138928640e+17 9.258159419836017600e+16
8.000000000000000167e-02 1.316820000000000000e+08 6.696118054196782080e+17 9.264168809758691200e+16
8.999999999999999667e-02 1.317300000000000000e+08 6.697836288718831360e+17 9.266892812334924800e+16
1.000000000000000056e-01 1.317730000000000000e+08 6.699555709392872960e+17 9.269672443315257600e+16
1.100000000000000006e-01 1.318210000000000000e+08 6.701276068179274240e+17 9.272319844533740800e+16
1.199999999999999956e-01 1.318530000000000000e+08 6.702997656147435520e+17 9.275125316943627200e+16
1.300000000000000044e-01 1.319020000000000000e+08 6.704719599395983360e+17 9.277461238715513600e+16
1.400000000000000133e-01 1.319250000000000000e+08 6.706442795196986880e+17 9.280281282839348800e+16
1.499999999999999944e-01 1.319400000000000000e+08 6.708165861642237440e+17 9.282357961345257600e+16
1.600000000000000033e-01 1.319890000000000000e+08 6.709888325883993600e+17 9.284179587355145600e+16
1.700000000000000122e-01 1.320050000000000000e+08 6.711612015751886080e+17 9.286985765635579200e+16
1.799999999999999933e-01 1.320430000000000000e+08 6.713335213041838080e+17 9.288867262482563200e+16
1.900000000000000022e-01 1.320840000000000000e+08 6.715059091157105920e+17 9.291380675739931200e+16
2.000000000000000111e-01 1.321280000000000000e+08 6.716783746073258240e+17 9.293946673231120000e+16
2.099999999999999922e-01 1.321470000000000000e+08 6.718509435415700480e+17 9.296652512802070400e+16
2.200000000000000011e-01 1.321760000000000000e+08 6.720234745811270400e+17 9.298597753688758400e+16
2.300000000000000100e-01 1.322080000000000000e+08 6.721960242992962560e+17 9.300847484277203200e+16
2.399999999999999911e-01 1.322860000000000000e+08 6.723686033427761920e+17 9.303154839182723200e+16
2.500000000000000000e-01 1.322990000000000000e+08 6.725414649918133760e+17 9.306827881515041600e+16
2.600000000000000089e-01 1.323190000000000000e+08 6.727142573484581120e+17 9.308607517262817600e+16
2.700000000000000178e-01 1.323560000000000000e+08 6.728870220969986560e+17 9.310610991528099200e+16
2.800000000000000266e-01 1.323910000000000000e+08 6.730598448725141760e+17 9.313075742866467200e+16
2.899999999999999800e-01 1.323990000000000000e+08 6.732327202360911360e+17 9.315511898202336000e+16
2.999999999999999889e-01 1.324400000000000000e+08 6.734055000544832000e+17 9.317150187547619200e+16
3.099999999999999978e-01 1.324920000000000000e+08 6.735783616083174400e+17 9.319742928490435200e+16
3.200000000000000067e-01 1.325260000000000000e+08 6.737513604968024320e+17 9.322636398349644800e+16
3.300000000000000155e-01 1.325910000000000000e+08 6.739244063251257600e+17 9.325044300264912000e+16
3.400000000000000244e-01 1.326100000000000000e+08 6.740976612546424320e+17 9.328326927235961600e+16
3.500000000000000333e-01 1.326390000000000000e+08 6.742708789798008320e+17 9.330284434120787200e+16
